date,post_count,post_count_diff,prob_epidemic
2018-02-19,3,-1.0,0.03645319304107191
2018-02-20,3,0.0,
2018-02-21,6,3.0,
2018-02-22,9,3.0,
2018-02-23,2,-7.0,
2018-02-24,4,2.0,3.8101713939885463e-10
2018-02-25,3,-1.0,
2018-02-26,6,3.0,
2018-02-27,14,8.0,
2018-02-28,8,-6.0,
2018-03-01,4,-4.0,0.2739984774109236
2018-03-02,12,8.0,
2018-03-03,2,-10.0,
2018-03-04,3,1.0,
2018-03-05,5,2.0,
2018-03-06,12,7.0,1.0
2018-03-07,11,-1.0,
2018-03-08,6,-5.0,
2018-03-09,8,2.0,
2018-03-10,0,-8.0,
2018-03-11,1,1.0,0.3228569121215732
2018-03-12,5,4.0,
2018-03-13,11,6.0,
2018-03-14,10,-1.0,
2018-03-15,11,1.0,
2018-03-16,9,-2.0,0.9973458099446284
2018-03-17,4,-5.0,
2018-03-18,7,3.0,
2018-03-19,7,0.0,
2018-03-20,11,4.0,
2018-03-21,9,-2.0,0.34245077132041546
2018-03-22,10,1.0,
2018-03-23,13,3.0,
2018-03-24,4,-9.0,
2018-03-25,5,1.0,
2018-03-26,14,9.0,0.9999999512302049
2018-03-27,17,3.0,
2018-03-28,12,-5.0,
2018-03-29,10,-2.0,
2018-03-30,4,-6.0,
2018-03-31,8,4.0,0.6311519689559604
2018-04-01,7,-1.0,
2018-04-02,13,6.0,
2018-04-03,14,1.0,
2018-04-04,12,-2.0,
2018-04-05,5,-7.0,1.0000000000000002
2018-04-06,8,3.0,
2018-04-07,4,-4.0,
2018-04-08,4,0.0,
2018-04-09,9,5.0,
2018-04-10,8,-1.0,0.604515449933933
2018-04-11,13,5.0,
2018-04-12,11,-2.0,
2018-04-13,9,-2.0,
2018-04-14,2,-7.0,
2018-04-15,2,0.0,0.3126127504643783
2018-04-16,10,8.0,
2018-04-17,12,2.0,
2018-04-18,13,1.0,
2018-04-19,16,3.0,
2018-04-20,6,-10.0,0.9995545392685334
2018-04-21,4,-2.0,
2018-04-22,5,1.0,
2018-04-23,19,14.0,
2018-04-24,9,-10.0,
2018-04-25,23,14.0,0.9999999919546151
2018-04-26,26,3.0,
2018-04-27,10,-16.0,
2018-04-28,2,-8.0,
2018-04-29,3,1.0,
2018-04-30,7,4.0,0.8268765876223296
2018-05-01,6,-1.0,
2018-05-02,11,5.0,
2018-05-03,11,0.0,
2018-05-04,7,-4.0,
2018-05-05,7,0.0,0.16327838238050854
2018-05-06,0,-7.0,
2018-05-07,11,11.0,
2018-05-08,9,-2.0,
2018-05-09,9,0.0,
2018-05-10,10,1.0,0.3618119389388338
2018-05-11,3,-7.0,
2018-05-12,4,1.0,
2018-05-13,4,0.0,
2018-05-14,15,11.0,
2018-05-15,17,2.0,0.2221530407937017
2018-05-16,8,-9.0,
2018-05-17,10,2.0,
2018-05-18,12,2.0,
2018-05-19,7,-5.0,
2018-05-20,6,-1.0,0.1825572840103337
2018-05-21,9,3.0,
2018-05-22,22,13.0,
2018-05-23,14,-8.0,
2018-05-24,13,-1.0,
2018-05-25,7,-6.0,0.9998623475665276
2018-05-26,4,-3.0,
2018-05-27,4,0.0,
2018-05-28,5,1.0,
2018-05-29,7,2.0,
2018-05-30,14,7.0,0.9997421419235328
2018-05-31,6,-8.0,
2018-06-01,18,12.0,
2018-06-02,8,-10.0,
2018-06-03,8,0.0,
2018-06-04,13,5.0,0.99343929668351
2018-06-05,16,3.0,
2018-06-06,29,13.0,
2018-06-07,13,-16.0,
2018-06-08,14,1.0,
2018-06-09,10,-4.0,0.999108971374309
2018-06-10,4,-6.0,
2018-06-11,17,13.0,
2018-06-12,16,-1.0,
2018-06-13,15,-1.0,
2018-06-14,14,-1.0,0.46108797375034416
2018-06-15,15,1.0,
2018-06-16,1,-14.0,
2018-06-17,2,1.0,
2018-06-18,18,16.0,
2018-06-19,8,-10.0,1.0
2018-06-20,19,11.0,
2018-06-21,15,-4.0,
2018-06-22,10,-5.0,
2018-06-23,7,-3.0,
2018-06-24,5,-2.0,0.756620009121097
2018-06-25,12,7.0,
2018-06-26,13,1.0,
2018-06-27,11,-2.0,
2018-06-28,5,-6.0,
2018-06-29,6,1.0,0.3006542759143104
2018-06-30,7,1.0,
2018-07-01,2,-5.0,
2018-07-02,5,3.0,
2018-07-03,7,2.0,
2018-07-04,6,-1.0,0.49327871773214804
2018-07-05,10,4.0,
2018-07-06,6,-4.0,
2018-07-07,5,-1.0,
2018-07-08,1,-4.0,
2018-07-09,8,7.0,0.8902834563900818
2018-07-10,9,1.0,
2018-07-11,6,-3.0,
2018-07-12,11,5.0,
2018-07-13,6,-5.0,
2018-07-14,3,-3.0,0.10510051821449792
2018-07-15,3,0.0,
2018-07-16,11,8.0,
2018-07-17,5,-6.0,
2018-07-18,8,3.0,
2018-07-19,10,2.0,0.08091339154571636
2018-07-20,5,-5.0,
2018-07-21,4,-1.0,
2018-07-22,3,-1.0,
2018-07-23,11,8.0,
2018-07-24,9,-2.0,0.22543989684007854
2018-07-25,20,11.0,
2018-07-26,27,7.0,
2018-07-27,18,-9.0,
2018-07-28,5,-13.0,
2018-07-29,2,-3.0,0.32769403109459794
2018-07-30,17,15.0,
2018-07-31,9,-8.0,
2018-08-01,7,-2.0,
2018-08-02,6,-1.0,
2018-08-03,10,4.0,0.9200260103731064
2018-08-04,5,-5.0,
2018-08-05,3,-2.0,
2018-08-06,8,5.0,
2018-08-07,9,1.0,
2018-08-08,6,-3.0,0.35732949902055494
2018-08-09,6,0.0,
2018-08-10,8,2.0,
2018-08-11,2,-6.0,
2018-08-12,2,0.0,
2018-08-13,7,5.0,0.9422497128250592
2018-08-14,7,0.0,
2018-08-15,4,-3.0,
2018-08-16,6,2.0,
2018-08-17,4,-2.0,
2018-08-18,0,-4.0,0.592947825329765
2018-08-19,2,2.0,
2018-08-20,6,4.0,
2018-08-21,9,3.0,
2018-08-22,6,-3.0,
2018-08-23,25,19.0,0.99999995668814
2018-08-24,35,10.0,
2018-08-25,8,-27.0,
2018-08-26,6,-2.0,
2018-08-27,50,44.0,
2018-08-28,24,-26.0,0.9999999999106075
2018-08-29,14,-10.0,
2018-08-30,10,-4.0,
2018-08-31,11,1.0,
2018-09-01,4,-7.0,
2018-09-02,4,0.0,0.05840285016836347
2018-09-03,4,0.0,
2018-09-04,17,13.0,
2018-09-05,21,4.0,
2018-09-06,12,-9.0,
2018-09-07,6,-6.0,0.5559716402507381
2018-09-08,2,-4.0,
2018-09-09,3,1.0,
2018-09-10,22,19.0,
2018-09-11,16,-6.0,
2018-09-12,18,2.0,0.3370873288358556
2018-09-13,22,4.0,
2018-09-14,19,-3.0,
2018-09-15,12,-7.0,
2018-09-16,9,-3.0,
2018-09-17,12,3.0,0.06105743531091814
2018-09-18,14,2.0,
2018-09-19,8,-6.0,
2018-09-20,12,4.0,
2018-09-21,10,-2.0,
2018-09-22,3,-7.0,0.05860948843542868
2018-09-23,2,-1.0,
2018-09-24,19,17.0,
2018-09-25,11,-8.0,
2018-09-26,9,-2.0,
2018-09-27,15,6.0,0.19163121517241855
2018-09-28,8,-7.0,
2018-09-29,3,-5.0,
2018-09-30,4,1.0,
2018-10-01,10,6.0,
2018-10-02,11,1.0,0.06515930793854055
2018-10-03,18,7.0,
2018-10-04,15,-3.0,
2018-10-05,11,-4.0,
2018-10-06,4,-7.0,
2018-10-07,1,-3.0,0.048979638605077994
2018-10-08,7,6.0,
2018-10-09,15,8.0,
2018-10-10,13,-2.0,
2018-10-11,15,2.0,
2018-10-12,3,-12.0,0.24246984906326935
2018-10-13,4,1.0,
2018-10-14,1,-3.0,
2018-10-15,6,5.0,
2018-10-16,7,1.0,
2018-10-17,5,-2.0,8.190612526654071e-15
2018-10-18,8,3.0,
2018-10-19,13,5.0,
2018-10-20,6,-7.0,
2018-10-21,5,-1.0,
2018-10-22,21,16.0,0.9869541614887614
2018-10-23,22,1.0,
2018-10-24,21,-1.0,
2018-10-25,35,14.0,
2018-10-26,10,-25.0,
2018-10-27,6,-4.0,0.11367829003387327
2018-10-28,4,-2.0,
2018-10-29,15,11.0,
2018-10-30,14,-1.0,
